id;created;customer;vote;content;produce_id
1;2020-10-01;system mobile invoice;4;AI capacitor;1
2;2020-10-01;Roads platforms hard drive;2;Product;2
3;2020-10-01;one-to-one France Connecticut;5;bus;3
4;2020-10-01;Small withdrawal magenta;2;Overpass;4
5;2020-10-01;projection ivory Handmade Wooden Shoes;0;Drives Borders calculate;5
6;2020-10-01;compressing;4;alarm compressing Malawi;6
7;2020-10-01;Louisiana;3;orchid Generic;7
8;2020-10-01;Mauritius;1;Legacy green;8
9;2020-10-01;projection optical;0;Euro Borders Wooden;9
10;2020-10-01;dot-com Guatemala e-enable;2;withdrawal plum;10
