id;name;unit;contains;days;description;price;file;file_content_type;category_id
1;Electronics collaborative Money Market Account;ivory invoice Incredible;../fake-data/blob/hipster.txt;46146;../fake-data/blob/hipster.txt;82605;../fake-data/blob/hipster.png;image/png;1
2;Internal invoice;Ergonomic Mills synthesize;../fake-data/blob/hipster.txt;4284;../fake-data/blob/hipster.txt;88574;../fake-data/blob/hipster.png;image/png;2
3;overriding Papua New Guinea Peru;Intelligent index;../fake-data/blob/hipster.txt;34443;../fake-data/blob/hipster.txt;90628;../fake-data/blob/hipster.png;image/png;3
4;digital Architect e-markets;programming;../fake-data/blob/hipster.txt;81354;../fake-data/blob/hipster.txt;45334;../fake-data/blob/hipster.png;image/png;4
5;magenta Checking Account United Kingdom;Handcrafted;../fake-data/blob/hipster.txt;38108;../fake-data/blob/hipster.txt;75472;../fake-data/blob/hipster.png;image/png;5
6;complexity Tala;Shoes Fantastic Cotton Sausages Connecticut;../fake-data/blob/hipster.txt;69544;../fake-data/blob/hipster.txt;25602;../fake-data/blob/hipster.png;image/png;6
7;bypass Incredible Wooden Soap scalable;Sausages target digital;../fake-data/blob/hipster.txt;34581;../fake-data/blob/hipster.txt;13219;../fake-data/blob/hipster.png;image/png;7
8;Delaware orange;Rand Namibia Dollar array bus;../fake-data/blob/hipster.txt;10257;../fake-data/blob/hipster.txt;84144;../fake-data/blob/hipster.png;image/png;8
9;users Wooden;digital Trinidad and Tobago Dollar Tuna;../fake-data/blob/hipster.txt;44930;../fake-data/blob/hipster.txt;96918;../fake-data/blob/hipster.png;image/png;9
10;bypassing Avon;Credit Card Account Director Refined Wooden Gloves;../fake-data/blob/hipster.txt;95361;../fake-data/blob/hipster.txt;5376;../fake-data/blob/hipster.png;image/png;10
